GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo-workshop,com.stalin.demo,DemoWorkshopApplication,5,3,0,0,2,1,1,1,1,1
demo-workshop,com.stalin.demo.controller,RepositoryDetailsController,71,116,4,0,14,22,3,2,1,2
